Half-Edges:
  [0] origin = -1, next = 98, face = 16, twin = 1
  [1] origin = 4, next = 69, face = 5, twin = 0
  [2] origin = 4, next = 9, face = 6, twin = 3
  [3] origin = 7, next = 25, face = 9, twin = 2
  [4] origin = 5, next = 82, face = 45, twin = 5
  [5] origin = 10, next = 130, face = 46, twin = 4
  [6] origin = 8, next = 88, face = 7, twin = 7
  [7] origin = 14, next = 81, face = 13, twin = 6
  [8] origin = 5, next = 132, face = 17, twin = 9
  [9] origin = 7, next = 18, face = 6, twin = 8
  [10] origin = 15, next = 73, face = 19, twin = 11
  [11] origin = 13, next = 33, face = 22, twin = 10
  [12] † origin = -1, next = -1, face = -1, twin = 13
  [13] † origin = -1, next = -1, face = -1, twin = 12
  [14] origin = 6, next = 3, face = 9, twin = 15
  [15] origin = 7, next = 68, face = 3, twin = 14
  [16] † origin = -1, next = -1, face = -1, twin = 17
  [17] † origin = -1, next = -1, face = -1, twin = 16
  [18] origin = 5, next = 2, face = 6, twin = 19
  [19] origin = 4, next = 41, face = 49, twin = 18
  [20] origin = 16, next = 138, face = 24, twin = 21
  [21] origin = 18, next = 29, face = 29, twin = 20
  [22] origin = 13, next = 30, face = 18, twin = 23
  [23] origin = 16, next = 11, face = 22, twin = 22
  [24] origin = 6, next = 1, face = 5, twin = 25
  [25] origin = 4, next = 14, face = 9, twin = 24
  [26] origin = 18, next = 137, face = 42, twin = 27
  [27] origin = -1, next = 125, face = 43, twin = 26
  [28] origin = 19, next = 32, face = 15, twin = 29
  [29] origin = 16, next = 97, face = 29, twin = 28
  [30] origin = 16, next = 39, face = 18, twin = 31
  [31] origin = 17, next = 20, face = 24, twin = 30
  [32] origin = 16, next = 95, face = 15, twin = 33
  [33] origin = 15, next = 23, face = 22, twin = 32
  [34] origin = 19, next = 59, face = 28, twin = 35
  [35] origin = 14, next = 94, face = 1, twin = 34
  [36] † origin = -1, next = -1, face = -1, twin = 37
  [37] † origin = -1, next = -1, face = -1, twin = 36
  [38] origin = 13, next = 40, face = 10, twin = 39
  [39] origin = 17, next = 22, face = 18, twin = 38
